"word","word_count"
"declarations",1
"time",198
"player",1827
"option",48
"perform",21
"action.",58
"If",1165
"player",1827
"performs",15
"action,",10
"declare",44
"mulligan.",8
"103.5c",1
"In",212
"multiplayer",93
"game",484
"Brawl",14
"game,",186
"mulligan",18
"player",1827
"takes",35
"doesn’t",232
"count",14
"cards",605
"player",1827
"bottom",35
"library",109
"mulligans",13
"player",1827
"take.",4
"Subsequent",3
"mulligans",13
"counted",7
"normal.",6
"103.5d",1
"In",212
"multiplayer",93
"game",484
"shared",29
"team",172
"option,",14
"player",1827
"starting",77
"team",172
"declares",15
"player",1827
"mulligan,",6
"players",220
"team",172
"same.",15
"Teammates",14
"consult",5
"decisions.",5
"Then",56
"mulligans",13
"time.",76
"A",990
"player",1827
"mulligan",18
"teammate",5
"decided",6
"hand.",41
"103.6.",1
"Some",233
"cards",605
"player",1827
"actions",137
"hand.",41
"Once",53
"mulligan",18
"process",45
"(see",274
"rule",1655
"103.5)",1
"complete,",11
"starting",77
"player",1827
"actions",137
"order.",47
"Then",56
"player",1827
"same.",15
"103.6a",1
"If",1165
"card",1217
"player",1827
"begin",33
"game",484
"card",1217
"battlefield,",144
"player",1827
"taking",27
"action",177
"card",1217
"battlefield.",104
"103.6b",1
"If",1165
"card",1217
"player",1827
"reveal",38
"hand,",29
"player",1827
"taking",27
"action",177
"so.",26
"The",750
"card",1217
"remains",84
"revealed",32
"begins.",31
"Each",149
"card",1217
"revealed",32
"once.",8
"103.6c",1
"In",212
"multiplayer",93
"game",484
"shared",29
"team",172
"option,",14
"player",1827
"starting",77
"team,",11
"team",172
"likes,",5
"actions.",17
"Teammates",14
"consult",5
"decisions.",5
"Then",56
"player",1827
"team",172
"same.",15
"103.7.",1
"In",212
"Planechase",33
"game,",186
"starting",77
"player",1827
"moves",37
"top",87
"card",1217
"planar",103
"deck",137
"planar",103
"deck",137
"up.",69
"If",1165
"it’s",276
"phenomenon",36
"card,",95
"player",1827
"card",1217
"bottom",35
"planar",103
"deck",137
"repeats",5
"process",45
"plane",54
"card",1217
"up.",69
"The",750
"face-up",44
"plane",54
"card",1217
"starting",77
"plane.",2
"(See",177
"rule",1655
"901,",14
"“Planechase.”)",1
"103.8.",2
"The",750
"starting",77
"player",1827
"takes",35
"turn.",98
"103.8a",1
"In",212
"two-player",18
"game,",186
"player",1827
"plays",7
"skips",10
"draw",82
"step",139
"(see",274
"rule",1655
"504,",2
"“Draw",4
"Step”)",1
"turn.",98
"103.8b",1
"In",212
"Two-Headed",38
"Giant",59
"game,",186
"team",172
"plays",7
"skips",10
"draw",82
"step",139
"turn.",98
"103.8c",1
"In",212
"multiplayer",93
"games,",9
"player",1827
"skips",10
"draw",82
"step",139
"turn.",98
"104.",2
"Ending",7
"Game",17
"104.1.",1
"A",990
"game",484
"immediately",38
"player",1827
"wins,",1
"game",484
"draw,",4
"game",484
"restarted.",2
"104.2.",1
"There",35
"win",12
"game.",181
"104.2a",1
"A",990
"player",1827
"game",484
"wins",18
"game",484
"player’s",301
"opponents",31
"left",95
"game.",181
"This",265
"immediately",38
"overrides",2
"effects",372
"preclude",6
"player",1827
"winning",6
"game.",181
"104.2b",1
"An",296
"effect",723
"player",1827
"wins",18
"game.",181
"104.2c",1
"In",212
"multiplayer",93
"game",484
"teams,",9
"team",172
"player",1827
"game",484
"wins",18
"game",484
"teams",19
"left",95
"game.",181
"Each",149
"player",1827
"winning",6
"team",172
"wins",18
"game,",186
"players",220
"previously",9
"lost",7
"game.",181
"104.2d",1
"In",212
"Emperor",22
"game,",186
"team",172
"wins",18
"game",484
"emperor",9
"wins",18
"game.",181
"(See",177
"rule",1655
"809.5.)",3
"104.3.",2
"There",35
"lose",53
"game.",181
"104.3a",1
"A",990
"player",1827
"concede",4
"game",484
"time.",76
"A",990
"player",1827
"concedes",1
"leaves",102
"game",484
"immediately.",10
"That",68
"player",1827
"loses",66
"game.",181
"104.3b",1
"If",1165
"player’s",301
"life",161
"total",127
"0",32
"less,",6
"player",1827
"loses",66
"game",484
"time",198
"player",1827
"receive",28
"priority.",52
"(This",20
"state-based",98
"action.",58
"See",1025
"rule",1655
"704.)",15
"104.3c",1
"If",1165
"player",1827
"required",17
"draw",82
"cards",605
"left",95
"library,",35
"draw",82
"remaining",35
"cards",605
"lose",53
"game",484
"time",198
"player",1827
"receive",28
"priority.",52
"(This",20
"state-based",98
"action.",58
"See",1025
"rule",1655
"704.)",15
"104.3d",1
"If",1165
"player",1827
"ten",20
"poison",30
"counters,",20
"player",1827
"loses",66
"game",484
"time",198
"player",1827
"receive",28
"priority.",52
"(This",20
"state-based",98
"action.",58
"See",1025
"rule",1655
"704.)",15
"104.3e",1
